,Q3,Q4,Q5,Q6,Q7,Q10,Q12,Q14,Q16,Q18,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37
330,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
331,5,2,1,1,2,2,1,2,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
332,5,5,4,1,1,1,1,1,1,2,6,1,1,2,3,1,5,1,1,2,1,2,2,1,1
333,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
334,5,5,5,7,4,3,7,4,5,3,3,4,4,3,3,3,2,4,6,3,4,4,5,5,6
335,5,6,4,2,4,5,4,3,6,3,4,4,4,4,4,4,6,4,4,6,4,4,4,2,2
336,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
337,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
338,3,2,3,5,5,2,4,5,3,4,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
339,5,5,2,1,1,3,6,5,6,2,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
340,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
341,4,6,1,1,1,7,1,1,1,1,5,1,1,4,6,1,7,6,1,1,1,5,4,1,1
342,1,6,1,1,7,5,1,1,1,1,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
343,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
344,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
345,2,6,1,1,3,7,6,1,4,2,5,1,3,6,6,1,7,5,1,5,1,5,4,1,1
346,4,7,4,2,2,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
347,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
348,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
349,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
